r/R,Lc [m],Twist [deg],a,a',dT,dM,Re No.,,Inputs,
0.033333333,0.058161924,49.01573453,0.270722983,2.265975101,0.196942122,0.261921593,52552.31501,,TSR,4.9
0.1,0.075630777,37.79676399,0.297756769,0.558714999,0.418599979,0.374811796,78470.00924,,Airfoil,S826
0.166666667,0.097299691,29.04175526,0.312111847,0.256249253,0.858407153,0.559290968,120185.2706,,,
0.233333333,0.095372302,22.64939798,0.319809208,0.14529736,1.280380406,0.643787867,140729.4575,,,
0.3,0.09249019,18.01757454,0.324159654,0.092776318,1.796731964,0.72818494,161188.4224,,,
0.366666667,0.089860773,14.59980785,0.326776689,0.064049168,2.413925471,0.814445074,182131.3132,,,
0.433333333,0.080001855,12.01229863,0.328444862,0.046737967,2.860279409,0.823230691,185749.4186,,,
0.5,0.071708563,10.00231902,0.329562465,0.035546298,3.306041349,0.827146586,188175.9505,,,
0.566666667,0.064766636,8.404121958,0.330343128,0.027913453,3.751349144,0.828111959,189875.0118,,,
0.633333333,0.058931448,7.107142368,0.330907793,0.022484305,4.196309634,0.827196687,191107.9638,,,
0.7,0.053988892,6.03586003,0.331328365,0.018489565,4.641002172,0.825030619,192029.7654,,,
0.766666667,0.049765713,5.137400048,0.331649479,0.015467224,5.085485319,0.82200227,192736.4877,,,
0.833333333,0.046125389,4.373856741,0.331899901,0.01312669,5.529802569,0.818361053,193290.0383,,,
0.9,0.042961054,3.717456938,0.332098787,0.011277992,5.973986606,0.814272687,193731.6669,,,
0.966666667,0.04018888,3.147444955,0.332259268,0.009792804,6.418062314,0.809850604,194089.6708,,,
