r/R,Lc [m],Twist [deg],a,a',dT,dM,Re No., ,Inputs
0.03333333333333333,0.05816192403508089,47.315734525975486,0.27072298275154705,2.265975101139055,0.19694212160635122,0.26192159347809657,52552.31501368693,TSR [-],4.9
0.1,0.07049282647578688,39.355478141806394,0.3055264562806163,0.3755895691261337,0.3216405704236209,0.3227627942640842,68222.41432974425,Radius [m],0.45
0.16666666666666669,0.08452869924588283,31.503193382767833,0.3277931909092563,0.053412217309669205,0.5534083115882074,0.42078327927014336,92285.64136920689,No. Segments [-],15
0.23333333333333334,0.09441857876102216,26.36303109415274,0.34898551147753964,-0.11859446329999901,0.7932758316636713,0.49776248208292295,113277.13064551132,Airfoil [-],S826
0.3,0.09249018963606222,21.59037466893569,0.3606394152005977,-0.18510185871208062,1.0407800467186574,0.5379845958607287,125587.47657524564,Cl [-],1.304
0.3666666666666667,0.08986077285522417,12.899807848802515,0.3267766891958681,0.06404916849896626,2.4139254713932807,0.8144450741184703,182131.31319339137,Cd [-],0.0172
0.43333333333333335,0.08000185485827699,10.312298627613973,0.3284448621732843,0.046737966878415,2.8602794087731302,0.8232306906735571,185749.4185832225,AoA_opt [deg],6.5
0.5,0.07170856258668835,8.302319021371597,0.3295624652292046,0.035546297741644306,3.3060413486863074,0.8271465860111961,188175.95052741215,,
0.5666666666666667,0.06476663627580816,6.704121957571555,0.3303431278394567,0.027913452969976358,3.751349144420695,0.8281119591286541,189875.01178986082,,
0.6333333333333334,0.05893144827792359,5.4071423676550046,0.3309077927058313,0.022484304784344784,4.196309633698561,0.8271966867412301,191107.96376912761,,
0.7,0.053988892069777826,4.33586002950953,0.33132836520333236,0.01848956503356714,4.641002172422659,0.8250306194670803,192029.76535809666,,
0.7666666666666667,0.0497657126488185,3.437400048012786,0.33164947895118885,0.01546722407577547,5.085485318870603,0.8220022700146137,192736.48773267036,,
0.8333333333333335,0.04612538854786179,2.673856741194158,0.3318999005103798,0.013126690148773367,5.529802568840464,0.8183610533644197,193290.03831868875,,
0.9,0.04296105433160283,2.0174569380792815,0.3320987873640806,0.011277992119828125,5.973986605537626,0.8142726869120631,193731.6668944724,,
0.9666666666666668,0.04018888004131612,1.447444955100097,0.3322592681641203,0.009792803837040686,6.4180623141699735,0.8098506044683969,194089.67075794822,,
